,File_List,Header,Text
3822,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_58.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_59.png']",INSURANCE-CONTD,Insurance Services Office Of Rhode Island One Hogp Trust Plaza 14th Fl
3823,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_60.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_61.png']",INSURANCE-CONTD,International Excess & Treaty Management Inc 198 Dyer St Rm 203
3824,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_62.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_63.png']",INSURANCE-CONTD,Jenison Insurance Associates Inc 111 Westminster St Rm 520
3825,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_64.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_65.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_66.png']",INSURANCE-CONTD,"JOHN HANCOCK MUTUAL LIFE INS CO 360 Sunset Av (N Providence; 02904), Tel 353-5450"
3826,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_67.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_68.png']",INSURANCE-CONTD,John Hancock Mutual Life Insurance Co 111 Westminster St Rm 432
3827,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_69.png'],INSURANCE-CONTD,K C Insurance Agency Inc 6 Braman St
3828,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_70.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_71.png']",INSURANCE-CONTD,Kagan & Shawcross Inc 111 Westminster St Rm 925
3829,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_72.png'],INSURANCE-CONTD,Kare Auto Club Inc 198 Dyer St Rm 203
3830,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_73.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_74.png']",INSURANCE-CONTD,Kaye Lawrence Insurance Co Inc 1985 Smith St (N Prov)
3831,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_75.png'],INSURANCE-CONTD,Kelley E A Co 209 Angell St
3832,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_76.png'],INSURANCE-CONTD,Kemper Insurance Co 76 Dorrance St Rm 400
3833,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_77.png'],INSURANCE-CONTD,Knibb Sheehan & Co 424 Howard Bldg
3834,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_78.png'],INSURANCE-CONTD,Laren Insurance Agency Inc 211 Angell St
3835,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_79.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_80.png']",INSURANCE-CONTD,Lawyers Title Insurance Corp 111 Westminster St Rm 718
3836,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_81.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_82.png']",INSURANCE-CONTD,Leutz T F & Assocs 111 Westminster St Rm 805
3837,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_83.png'],INSURANCE-CONTD,Liberty Life Assurance Co 100 Medway St
3838,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_84.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_85.png']",INSURANCE-CONTD,Liberty Mutual Fire Insurance Co 100 Medway St
3839,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_86.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_87.png']",INSURANCE-CONTD,"LIBERTY MUTUAL INSURANCE CO 100 Medway (02906), Tel 351-2200"
3840,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_88.png'],INSURANCE-CONTD,Libutti Richd V 353 Admiral St
3841,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_89.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_90.png']",INSURANCE-CONTD,Life Insurance Co 2240 Mineral Spring Av(N Prov)
3842,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_91.png'],INSURANCE-CONTD,Lothgren Eug T 146 Westminster St Rm 410
3843,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_92.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_93.png']",INSURANCE-CONTD,Lumbermaxfs Mutual Casualty Co 76 Dorrance St Rm 400
3844,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_94.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_95.png']",INSURANCE-CONTD,M & F Insurance Agency Inc 131 Washington St Rm 312
3845,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_96.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_97.png']",INSURANCE-CONTD,Maggiacomo Insurance Agcy 1957 Smith St (N Prov)
3846,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_98.png'],INSURANCE-CONTD,Mahabir Bernard 233 Warrington St
3847,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_99.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_100.png']",INSURANCE-CONTD,Mansolillo Joseph Insurance Agency 177 Pocasset Av
3848,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_101.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_102.png']",INSURANCE-CONTD,Marketing Development Services Inc 141 Wayland Av
3849,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_103.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_104.png']",INSURANCE-CONTD,.Massachusetts Casualty Insurance Co 40 Westminster St 20th Fl
3850,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_105.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (2)_106.png']",INSURANCE-CONTD,Massachusetts Mutual Life 40 Westminster St Rm 1400
3851,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_2.png'],INSURANCE-CONTD,Master Life Insurance Co 179 Wayland Av
3852,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_3.png'],INSURANCE-CONTD,Mazzotta Ins 621 Hartford Av
3853,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_4.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_5.png']",INSURANCE-CONTD,Mc Coy James F Insurance Agency 601 Howard Bldg
3854,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_6.png'],INSURANCE-CONTD,Mc Neill John D 346 River Av
3855,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_7.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_8.png']",INSURANCE-CONTD,Meagher & O1Donnell Inc 111 Westminster St Rm 633
3856,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_9.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_10.png']",INSURANCE-CONTD,Medway Insurance Corp 245 Waterman St Rm 500
3857,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_12.png']",INSURANCE-CONTD,Medway Marine Corp 245 Waterman St Rm 500
3858,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_13.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_14.png']",INSURANCE-CONTD,Metropolitan Life Insurance Co 1830 Mineral Spring Av(N Prov)
3859,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_15.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_16.png']",INSURANCE-CONTD,Metropolitan Property & Liability Insurance Co 544 Elmwood Av
3860,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_17.png'],INSURANCE-CONTD,Monarch Life Insurance Co 414 Howard Bldg
3861,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_18.png'],INSURANCE-CONTD,Mosca Ronald C 94 Smart St
3862,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_19.png'],INSURANCE-CONTD,Motor Vehicle Casualty Co 20 Washington Pl
3863,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_20.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_21.png']",INSURANCE-CONTD,Mutual Benefit Life Insurance Co Of Newark Nj 144 Westminster St 5th Fl
3864,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_22.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_23.png']",INSURANCE-CONTD,Mutual Fire Insurance Co 2240 Mineral Spring Av(N Prov)
3865,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_24.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_25.png']",INSURANCE-CONTD,Mutual Insurance Co 2240 Mineral Spring Av(N Prov)
3866,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_27.png']",INSURANCE-CONTD,Mutual Of New York 40 Westminster St Rm
3867,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_28.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_29.png']",INSURANCE-CONTD,Mutual & United Of Omaha 17 Exchange St Rm 413
3868,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_30.png'],INSURANCE-CONTD,Nadeau Leo Agency 334 Howard Bldg
3869,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_31.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_32.png']",INSURANCE-CONTD,Natale Lawrence A Co 76 Dorrance St Rm 404
3870,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_33.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_34.png']",INSURANCE-CONTD,National Brokerage Service Inc 510 Howard Bldg
3871,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_35.png'],INSURANCE-CONTD,National Life Insurance Co 211 Howard Bldg
3872,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_36.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_37.png']",INSURANCE-CONTD,National Suretry Corp 245 Waterman St Rm 307
3873,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_38.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_39.png']",INSURANCE-CONTD,Nationwide Insurance 2240 Mineral Spring Av(N Prov)
3874,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_40.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_41.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_42.png']",INSURANCE-CONTD,"NEW ENGLAND MUTUAL LIFE INSURANCE CO 15 Westminster St Rm 715 (02903), Tel 401-274-5000"
3875,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_43.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_44.png']",INSURANCE-CONTD,New England Underwriters Inc 512 Howard Bldg
3876,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_45.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_46.png']",INSURANCE-CONTD,New York Life Insurance Co 245 Waterman St Rm 401
3877,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_47.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_48.png']",INSURANCE-CONTD,Northwestern Mutual Life Insurance Co 146 Westminster St Rm 410
3878,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_49.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_50.png']",INSURANCE-CONTD,Northwestern Mutual Life Insurance Co 54 Custom House Rm 20
3879,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_51.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_52.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_53.png']",INSURANCE-CONTD,"OCCIDENTAL LIFE INSURANCE CO OF CALIFORNIA 1141 Howard Bldg 10 Dorrance St (02903), Tel 421-8284"
3880,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_54.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_55.png']",INSURANCE-CONTD,O1Rourke Insurance Agency 40 Westminster St Rm 304
3881,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_56.png'],INSURANCE-CONTD,O1Rourke John J 49 Stadden St
3882,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_57.png'],INSURANCE-CONTD,ORTOLEVA ROBERT S
3883,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_62.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_63.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Ovalles John S Agency 2240 Mineral Spring Av(N Prov)
3884,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_64.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_65.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,"PAIGE C D CO INC 680 Warren Av (East Providence; 02914), Tel 438-0440"
3885,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_66.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_67.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Paolino Insurance Agency Inc 357 Westminster St Rm 201
3886,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_68.png'],24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Parkinson Agcy 111 Westminster St Rm 1109
3887,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_69.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_70.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Paul Revere Life Insurance Co 201 Wayland Av
3888,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_71.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_72.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_73.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,"PAWTUCKE'P MUTUAL INSURANCE CO 25 Maple St (Pawtucket, 02862) Tel 7 25-5600"
3889,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_74.png'],24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Peoples Home Life 40 Fountain St Rm 800
3890,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_75.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_76.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Phoenix Companies The 120 Wayland Av lst
3891,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_77.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_78.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Phoenix Mutual Life Ins Co 120 Wayland Av lst F1
3892,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_79.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_80.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Pilgrim Title Insurance Co 76 Westminster St Rm 304
3893,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_81.png'],24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Pitochelli James E & Associates 211 Angell St
3894,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_82.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_83.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Plan Administrators Of America Inc 141 Wayland Av
3895,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_84.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_85.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Providence Mutual Fire Insurance Co 20 Mutual P1
3896,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_86.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_87.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Providence Plantation Service Corp 58 Weybosset St Mezzanine
3897,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_88.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_89.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Providence Washington Insurance Co Inc 20 Washington P1
3898,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_90.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_91.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Providence Washington Insurance Co Of Alaska 20 Washington P1
3899,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_92.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_93.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Providence Washington Life Insurance Co 20 Washington P1
3900,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_94.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_95.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Provident Life & Accident Insurance Co 127 Wayland Av
3901,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_96.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_97.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Provident Mutual Life Insurance Co Of Philadelphia 40 Westminster St Rm 1103 -- f
3902,['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_98.png'],24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Puritan life Ins Co 245 Waterman St Rm 201
3903,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_99.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_100.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,Puritan Life Insurance Co (818 Dept) 245 Waterman St Rm 504
3904,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_101.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_80 (3)_102.png']",24 RIDGEWAY AVENUE PROVIDENCE (02909) TELEPHONE 421-7112 RESIDENCE TELEPHON E 351-6682,R I Association Of Insurance Agents Inc 622 Howard Bldg
3905,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_4.png']",INSURANCE-CONTD,"REILLY JAM. J INC 1990 Pawtucket Av (E Providence; 02914), Tel 438-"
3906,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_5.png'],INSURANCE-CONTD,Revere Paul Life Insurance Co 1 S Angell St
3907,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_6.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_7.png']",INSURANCE-CONTD,Rhode Island Group Health (Dental Office) 1840 Mineral Spring Av(N Prov)
3908,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_9.png']",INSURANCE-CONTD,Rhode Island Joint Reinsurance Assn One Hosp Trust Plaza 22d F1
3909,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_10.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_11.png']",INSURANCE-CONTD,Rhode Island Title Insurance Agcy Inc 111 Westminster St Rm 718
3910,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_12.png'],INSURANCE-CONTD,Robin Agency Inc The 197 Wickenden St
3911,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_13.png'],INSURANCE-CONTD,Roseman Bernard 15 Westminster St Rm 636
3912,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_14.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_15.png']",INSURANCE-CONTD,Royal Globe Insurance Companies 304 Howard Bldg
3913,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_16.png'],INSURANCE-CONTD,Rumford Insurance Co 718 Howard Bldg
3914,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_17.png'],INSURANCE-CONTD,Sanderson Bros 56 Pine St 5th Fl
3915,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_18.png'],INSURANCE-CONTD,Schlossberg Harry 111 Westminster St Rm 737
3916,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_19.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_20.png']",INSURANCE-CONTD,Schlossberg J & Son 111 Westminster St Rm 737
3917,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_22.png']",INSURANCE-CONTD,Secanty Mutual Life Insurance Co Of Ny 111 Westminster St Rm 606
3918,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_23.png'],INSURANCE-CONTD,Security First Inc 198 Dyer St Rm 201
3919,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_24.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_25.png']",INSURANCE-CONTD,Sentry Insurance 1840 Mineral Spring Av(N Prov)
3920,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_27.png']",INSURANCE-CONTD,Shelby Mutual Insurance Co 120 Wayland Av 2dFl
3921,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_28.png'],INSURANCE-CONTD,Shippee E W & Sons Inc 56 Pine St 5th Fl
3922,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_29.png'],INSURANCE-CONTD,Smith Morton Inc 245 Waterman St Rm 500
3923,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_30.png'],INSURANCE-CONTD,Smith Plan 245 Waterman St Rm 505
3924,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_31.png'],INSURANCE-CONTD,Starkweather & Shepley Inc 155 S Main St
3925,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_32.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_33.png']",INSURANCE-CONTD,State Catastrophic Health Insurance Plan 100. N Main St
3926,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_34.png'],INSURANCE-CONTD,STATE MUTUAL LIFE ASSURANCE
3927,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_36.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_37.png']",COMPANY OF AMERICA 60,"Catamore Blvd, East Providence, RI (02914), Tel 438-7350"
3928,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_38.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_39.png']",COMPANY OF AMERICA 60,Stevens Neil Insurance Corp 146 Westminster St Rm 314
3929,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_40.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_41.png']",COMPANY OF AMERICA 60,Sun Life Assurance Co Of Canada 111 Westminster St Rm 805
3930,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_42.png'],COMPANY OF AMERICA 60,Taglione Ray Insurance 207 Union Av
3931,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_43.png'],COMPANY OF AMERICA 60,Time Plan Corp 144 Wayland Av
3932,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_44.png'],COMPANY OF AMERICA 60,Todd Edw 31 Downing St
3933,['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_45.png'],COMPANY OF AMERICA 60,Torrisi Philip S Agency 56 Pine St 5th Fl
3934,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_46.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_47.png']",COMPANY OF AMERICA 60,Transamerican Life Ins & Annuity Co 1141 Howard Bldg
3935,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_48.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_49.png']",COMPANY OF AMERICA 60,Travelers Insurance Client Service Center 1 Weybosset Hill 5th Fl
3936,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_50.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_51.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_52.png']",COMPANY OF AMERICA 60,"TRAVELERS INSURANCE COMPANY THE 40 Westminster St Rm 400 (02903), Tel 274-9100"
3937,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_53.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_54.png']",COMPANY OF AMERICA 60,Travisono Insurance Agency 1038 Chalkstone Av
3938,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_55.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_81 (1)_56.png']",COMPANY OF AMERICA 60,Union Mutual Life Insurance Co 187 Westminster St Rm 402
